Companies,Investment Stage,Deal Size,Deal Date,Round Investors,Description,Industry,Country,Total Funding,All Investors
Uberall,Series B - II,$25.00M,09/06/2018,N/A,Uberall develops a cloud-based platform to let small and large businesses get listed and market themselves across multiple location-based services.,Internet Software & Services,Germany,$166.11M,N/A
HyperGrid,Series C,$25.00M,09/12/2018,N/A,"HyperGrid empowers organizations with intelligence and automation to realize the full benefits of cloud technology.On Juliy 1st, 2020, HyperGrid merged with iQuate to create CloudSphere.",Internet Software & Services,United States,$84.48M,N/A
Quantum Metric,Series A,$25.00M,09/18/2018,N/A,Quantum Metric offers a platform that helps companies improve their websites and apps by gleaning continuous real-time feedback from end-users. Quantum Metric uses a continuous product design (CPD) approach to enable businesses to iterate and build digital products faster.,Internet Software & Services,United States,$251.00M,N/A
Fidelis Cybersecurity,Series C,$25.00M,09/18/2018,N/A,"Fidelis Cybersecurity is a provider of automated threat detection and response solutions that span across networks, endpoint and cloud environments.On January 16th, 2020, Fidelis Cybersecurity was acquired by Skyview Capital. Terms of the transaction were not disclosed.",Internet Software & Services,United States,$56.90M,N/A
Licious,Series C,$25.00M,09/26/2018,N/A,Licious is an end-to-end meat processing and sales company that sells a wide range of meat products via its online portal - including products such as pickles and meat spreads apart from fresh cut meat - to consumers in India.,eCommerce,India,$338.00M,N/A
Veem,Series C,$25.00M,09/26/2018,N/A,Veem is a payment service provider (PSP) for global commerce. The company enables businesses and payment platforms to send and receive payments in local currency by using the blockchain as a settlement rail.,Internet Software & Services,United States,$92.57M,N/A
RedShelf,Series C,$25.00M,08/24/2018,N/A,"RedShelf, formerly Virdocs Software, partners with publishers, institutional bookstores, and other content creators to streamline the discovery and distribution of eBooks and other digital course materials for students.",eCommerce,United States,$45.76M,N/A
Glassbox,Series B,$25.00M,10/04/2018,N/A,"Glassbox (TASE: GLBX) provides a platform that enables companies to optimize digital customer experiences across web, mobile web and mobile apps and provides automatic insights.",Internet Software & Services,United Kingdom,$72.00M,N/A
"Y
YOHO",Series E - II,$25.00M,10/12/2018,N/A,"YOHO is a youth lifestyle & streetwear cross-media platform that operates fashion magazine and e-commerce business. The company's main businesses are YOHO! Fashion, a fashion magazine targeted at male youths, fashion community YOHO.CN, and e-commerce platform YOHOBUY.",eCommerce,China,$155.00M,N/A
"S
Sovrn",Series E,$25.00M,10/18/2018,N/A,"Sovrn owns and operates a global exchange that connects publishers with tools, services, and analytics to grow their audience, engage readership, and monetize their site.",Internet Software & Services,United States,$47.99M,N/A
OnlinePajak,Series B,$25.00M,10/23/2018,N/A,"OnlinePajak is an all in one application to handle corporate taxes and administration. OnlinePajak has a mission to increase tax collection and remove corporate administration and tax burden with three steps: prepare, pay, and file taxes online in a seamlessly integrated application.",Internet Software & Services,Indonesia,$37.00M,N/A
InfoWorks,Series C,$25.00M,10/25/2018,N/A,InfoWorkshas developed a Dynamic Data Warehousing (DDW) platform on Hadoop. The Infoworks DDW platform provides a high-performance and shared data repository that supports all enterprise analytics on Hadoop through software automation and intelligent data organization.,Internet Software & Services,United States,$59.50M,N/A
"R
Ribbon",Series A,$25.00M,10/25/2018,N/A,"Ribbon aims to make consumers who need financing more competitive when they go up against all-cash buyers. Would-be homeowners can make offers on homes with the backing of Ribbon; if the buyer’s financing comes through as expected, Ribbon doesn’t pay anything. However, if any sort of problem arises that derails or delays the financing, Ribbon steps in and buys the home itself.",Internet Software & Services,United States,$709.40M,N/A
"C
Concord Worldwide",Series B,$25.00M,10/30/2018,N/A,Concord is a cloud-based contract success platform that automates and supports the complete contract lifecycle.,Internet Software & Services,United States,$42.90M,N/A
PatientPop,Series B,$25.00M,10/31/2018,N/A,"PatientPop is a practice growth technology platform for healthcare providers that aims to enhance and automate each touchpoint in the patient journey, from first impression online and digital booking to post-appointment follow-up.On November 2nd, 2021, PatientPop merged with Kareo and formed Tebra.",Internet Software & Services,United States,$97.86M,N/A
Compare.com,Angel,$25.00M,11/01/2018,N/A,"Compare.com offers car insurance comparison services for US consumers in 49 states. Compare.com allows consumers to fill out a single form and get multiple accurate quotes from trusted auto insurers. Through simple side-by-side comparison, Compare.com makes finding comparable rates on car insurance easy.",eCommerce,United States,$35.00M,N/A
Miro,Series A,$25.00M,11/08/2018,N/A,"Miro is a whiteboarding platform for cross-functional teams collaboration that allows managers, designers, Agile coaches, marketers and other talented professionals to collaborate, visualize and collect ideas and share their work using this product.",Internet Software & Services,United States,$75.00M,N/A
Workato,Series B,$25.00M,12/05/2018,N/A,"Workato creates integration software, which ties apps together in a secure way and automates repetitive tasks. For example, a company might use it to take in customer data and automate the financial processes around it, such as creating an invoice.",Internet Software & Services,United States,$415.00M,N/A
"1
17 LIVE",Series C,$25.00M,12/06/2018,N/A,"17 LIVE, fka M17, is the result of a merger between Paktor Group and 17 Media. M17 provides a virtual stage for performers to explore what is possible both artistically and financially by allowing them to showcase their talents and interact directly with fans everywhere in real-time.",Internet Software & Services,Taiwan,$126.50M,N/A
"G
Guru Technologies",Series B,$25.00M,12/07/2018,N/A,"Guru is a Revenue Empowerment Network, utilizing AI to make sales, support, and customer success teams better at their jobs. It offers a Chrome extension that connects a team's knowledge to the web apps already used.",Internet Software & Services,United States,$68.00M,N/A
Licious,Series D,$25.00M,12/10/2018,N/A,Licious is an end-to-end meat processing and sales company that sells a wide range of meat products via its online portal - including products such as pickles and meat spreads apart from fresh cut meat - to consumers in India.,eCommerce,India,$338.00M,N/A
LogDNA,Series B,$25.00M,12/11/2018,N/A,"LogDNA is a cloud-based log management system that allows engineering and DevOp teams to aggregate all the system and application logs into one platform. LogDNA allows its users to save, store, tail, and search application logs in real time from a simple command-line or web interface.",Internet Software & Services,United States,$59.12M,N/A
Juniper Square,Series B,$25.00M,12/12/2018,N/A,"Juniper Square provides real estate investment managers with a software platform that streamlines fundraising, investment administration, and investor reporting.",Internet Software & Services,United States,$106.00M,N/A
Avanan,Series B - II,$25.00M,12/17/2018,N/A,"Avanan offers a cloud-based security platform to provide the full stack of security solutions for public SaaS applications. The company is designed for organizations that need to monitor and protect employees' use of the cloud.On August 30th, 2021, Avanan was acquired by Check Point at a valuation between $270-280M.",Internet Software & Services,United States,$41.40M,N/A
K Health,Series B,$25.00M,12/17/2018,N/A,K Health is a digital health company that offers free personalized healthcare. The company has created an AI-driven primary care solution that allows users to see how doctors diagnose and treat similar people with similar symptoms for free by chatting with AI that has been trained on a uniquely large dataset.,Internet Software & Services,United States,$278.00M,N/A
DataCamp,Series A,$25.00M,12/17/2018,N/A,"DataCamp is an online data science school that teaches core R programming and data science skills through video lessons and interactive coding challenges. With hands-on data analysis courses and R tutorials on Data Handling, Data Visualization, Reporting, Machine Learning, and Statistical Modeling, members get the hands-on experience they need to begin a real-life project.",Internet Software & Services,United States,$31.12M,N/A
"5
51zhaoyou",Series C - II,$25.00M,03/23/2018,N/A,51zhaoyou is an online platform for the selling and purchasing of oil and dangerous chemicals.,eCommerce,China,$202.80M,N/A
Zebit,Series B,$25.00M,06/11/2018,N/A,"Zebit offers a payment system technology that opens online shopping to users by granting no-cost credit to the underserved population. Due to cash constraints or lack of credit access, these consumers typically turn to high-cost off-line financing methods (payday loans, rent-to-own, in-store financing) with payments that can total over four times the purchase value. Zebit's platform grants real-time, no-cost, no credit-check, zero percent APR financing, and is available to any online merchant as a primary payment method.",Internet Software & Services,United States,$111.50M,N/A
"H
Hot&Hot",Series B - II,$24.99M,06/12/2018,N/A,"Spice Spirit (麻辣诱惑) is an on-demand food provider in China. The company operates Hot&Hot (热辣生活), a chain of restaurants that is also an online crawfish retailer. With its proprietary supply chain technology, it is currently transforming the traditional restaurant business into a consumer-centric online retail brand.",eCommerce,China,$46.53M,N/A
Pico Interactive,Series A,$24.70M,07/31/2018,N/A,"Pico Interactive is a VR company committed to combining precision optics, immersive video, and sound with fine industrial design to deliver high-performance experiences.On August 30th, 2021, Pico Interactive was acquired by ByteDance at a valuation rumored to be between $773.6 million to $1.39 billion (5 billion RMB to 9 billion RMB)",Internet Software & Services,China,$91.98M,N/A
"I
Ice Kredit",Series B,$24.57M,04/08/2018,N/A,"IceKredit is an AI company providing business-level services with its Artificial Intelligence technologies. Since founded in 2015, IceKredit has become an AI service provider with a focus on credit risk management for both individuals and financial institutions while constantly expanding its AI technologies to more sectors including medical care, government events, and public security.",Internet Software & Services,China,$158.87M,N/A
Kayrros,Series B,$24.40M,09/18/2018,N/A,Kayrros is an advanced data analytics company that helps energy market players make better investment decisions. Kayrros extracts value from the integration of alternative and market data into its product offerings across the energy chain. Kayrros solutions are scalable and continually expanded to new geographies and new sources of data that help provide greater transparency into energy markets worldwide.,Internet Software & Services,France,$33.94M,N/A
SparkCognition,Series B - II,$24.00M,02/20/2018,N/A,"SparkCognition builds artificial intelligence solutions for applications in energy, oil and gas, manufacturing, finance, aerospace, defense, and security. SparkCognition's products include Darwin for automated model building, DeepArmor for AI-built cybersecurity, SparkPredict, an analytics solution, and DeepLNP, a natural language processing solution.",Internet Software & Services,United States,$167.88M,N/A
"E
Eightfold.ai",Series B,$24.00M,04/18/2018,N/A,"Eightfold.ai offers a talent intelligence platform. It allows the user to centralize all their people data, including ATS, HRMS, resume books, and spreadsheets.",Internet Software & Services,United States,$397.00M,N/A
IFTTT,Series C,$24.00M,04/26/2018,N/A,"IFTTT (If This Then That) is an online service that allows users to set up conditions for various web apps and enable trigger actions based on those actions. For example, a user could set IFTTT to update them with a Tweet every time a certain person they follow on Twitter posts on Foursquare or everytime they are tagged in a photo on Facebook.",Internet Software & Services,United States,$63.18M,N/A
"F
flaschenpost",Series B,$24.00M,04/27/2018,N/A,"flaschenpost provides a delivery service for beverages, including water, beer, lemonade, spritzer, juice, wine, and coffee. Users can securely pay for the drink via the platform and receive the delivery within 90 minutes with no delivery fee.",eCommerce,Germany,$80.61M,N/A
simplesurance,Series C,$24.00M,05/08/2018,N/A,"simplesurance is an eCommerce provider for product insurances, enabling customers to buy products online and purchase corresponding insurance coverage at the checkout. The company's solutions enable cross-selling of product insurances directly at the point of sale in eCommerce, and integrates into the checkout process of online shops to offer a one-click experience for customers.",eCommerce,Germany,$87.51M,N/A
Lola,Series B,$24.00M,06/12/2018,N/A,"Lola offers a convenient, transparent, and customized way for women to get exactly what they need for their period every month.",eCommerce,United States,$43.84M,N/A
Lacework,Series B,$24.00M,08/28/2018,N/A,"Lacework delivers a complete security platform for the entire IT infrastructure, from DevOps and orchestration environments to cloud and hybrid workloads. Lacework is designed to self-adapt to the cloud's ever-changing configurations to provide visibility and intrusion detection that helps enterprises keep their data and resources safe.",Internet Software & Services,United States,"$1,906.70M",N/A
Cricket Health,Series A,$24.00M,09/05/2018,N/A,"Cricket Health is a comprehensive kidney care provider with a personalized, evidence-based approach to managing CKD and ESRD. Through a combination of software and services, the company makes home dialysis accessible to a larger pool of patients, and improves medical outcomes for these patients.",Internet Software & Services,United States,$127.75M,N/A
TakeOff Technologies,Series B - II,$24.00M,09/19/2018,N/A,TakeOff Technologies has developed a eGrocery model allowing users to order groceries online and get the groceries delivered to the users home.,eCommerce,United States,$65.92M,N/A
"X
xbAV",Series B,$24.00M,10/23/2018,N/A,"xbAV is a provider of corporate pension technology in Germany. Its software-as-a-service platform provides a shared service interface between pension product providers, insurance agents, companies and employees to create new, and manage existing, pension policies.",Internet Software & Services,Germany,$50.99M,N/A
Tecovas,Series A,$24.00M,12/20/2018,N/A,Tecovas sells a line of men's and women's cowboy boots made in Mexico through a website using a direct-to-consumer model.,eCommerce,United States,$43.41M,N/A
Tourlane,Series B,$23.97M,12/06/2018,N/A,Tourlane is a consulting portal for high-quality individual travel. The platform combines the personal service of a travel agency with the simplicity of an online portal.,Internet Software & Services,Germany,$99.59M,N/A
"S
SOBOT",Series B - II,$23.88M,04/10/2018,N/A,SOBOT is developing artificial intelligence and robot technology solutions for customer service applications.,Internet Software & Services,China,$97.97M,N/A
Coinsquare,Series B,$23.80M,02/08/2018,N/A,"Coinsquare operates a platform to buy, sell and trade bitcoin, ethereum, gold and more.",eCommerce,Canada,$100.00M,N/A
SessionM,Series E,$23.80M,07/23/2018,N/A,"SessionM is a customer management and loyalty platform empowering brands to forge stronger and more profitable customer relationships. On October 22, 2019, SessionM was acquired by Mastercard. The terms of the transaction were not disclosed.",Internet Software & Services,United States,$97.30M,N/A
"B
Baby English",Series B,$23.68M,03/20/2018,N/A,"Beijing Qimeng Education & Technology (北京启萌教育科技有限公司), dba Baby English (宝宝玩英语), is an online English language education institution for preschoolers in China.",Internet Software & Services,China,$23.68M,N/A
"H
HOTchain",Seed VC,$23.67M,01/29/2018,N/A,"HOTchain (热度链) is a global culture, sports, and entertainment digital asset trading platform based on blockchain technology. The company offers celebrity interactive services, collectively referred to as celebrity time merchandise. HOTchain is committed to achieving digital assetization, securitization, transparency and fairness in the global culture, sports and entertainment industry. It optimizes the market elements (celebrities, IP, resources, etc.) through blockchain technology and applications.",eCommerce,China,$23.67M,N/A
"W
Woxingwosu",Series A,$23.67M,05/14/2018,N/A,Woxingwosu is a C2B hotel booking platform.,Internet Software & Services,China,$23.67M,N/A
"K
KUANDD",Series C,$23.49M,07/30/2018,N/A,"KUANDD, is a B2B platform that offers jewelry supply chain services, business intelligence & analytics, performance management, enterprise services, and more.",Internet Software & Services,China,$49.30M,N/A
"K
KNX",Series B - II,$23.40M,01/19/2018,N/A,"KNX provides O2O human resource solutions, such as HR management, recruitment, talent management, and organizational strategy.",Internet Software & Services,China,$52.40M,N/A
Homeday,Series B,$23.17M,10/15/2018,N/A,Homeday is a Berlin-based online real estate platform that offers local realtors a platform for matching property owners and streamlining the selling process.,Internet Software & Services,Germany,$68.17M,N/A
"Y
yabuli",Seed,$23.12M,01/04/2018,N/A,yabuli (雅布力) is a social retail platform for maternal and infant consumer products.,eCommerce,China,$23.12M,N/A
"E
eSign",Series B,$23.05M,01/10/2018,N/A,"eSign is a third-party electronic signature platform, offering services for real-name certification, electronic signatures, electronic contracts, data storage, and legal services to clients in the fields of public utilities, Internet companies, large enterprises, and financial industries.",Internet Software & Services,China,$459.34M,N/A
Fellow Finance,IPO,$23.05M,10/10/2018,N/A,Fellow Finance provides a crowdfunding platform for people and businesses. The borrower can apply a loan fitting their needs and the investor can receive reasonable interest returns for the money lent. Fellow Finance offers a secure and safe online marketplace for lending and borrowing.,Internet Software & Services,Finland,,N/A
"D
Data Grand",Series B,$23.05M,11/22/2018,N/A,"Data Grand leverages its patented technology to deliver SaaS based on Natural Language Processing (NLP), such as personalized recommendations engine, vertical search engine, and text-mining service.",Internet Software & Services,China,$69.87M,N/A
"F
FOR-U Smart Freight",Series C - II,$23.00M,01/02/2018,N/A,"FOR-U Smart Freight, also Fuyoukache, is a provider of truck logistics services to enterprises and individuals, connecting truck drivers with those in need of logistic services via its online platform. The company has operations spread across 31 provinces in China, and partnerships with over 30 logistics companies.",Internet Software & Services,China,$469.50M,N/A
Unbabel,Series B,$23.00M,01/05/2018,N/A,"Unbabel enables modern enterprises to serve customers in their native languages, with always-on, scalable translation across digital channels. Powered by AI and refined by a global community of translators, Unbabel combines the speed and scale of machine translation with the authenticity from a native speaker.",Internet Software & Services,United States,$89.70M,N/A
StreetShares,Series B,$23.00M,01/24/2018,N/A,StreetShares’ Digital Business Banking Platform (“Atlas”) rapidly enables institutions and lenders of any size with complete business product solutions from sales to closing. Atlas levels the playing field for any provider of financial business products that desires to compete with larger banks and financial technology firms.,eCommerce,United States,$371.29M,N/A
InsightSquared,Series D,$23.00M,05/16/2018,N/A,InsightSquared is a Salesforce Analytics company for small and midsize businesses (SMB). InsightSquared can be deployed affordably in less than a day without any integration costs and comes preloaded with reports that real business people can use.,Internet Software & Services,United States,$64.32M,N/A
Peek,Series B,$23.00M,06/13/2018,N/A,"Peek is a travel activities marketplace, a one-stop shop for travelers and locals to book amazing activities. Whether it's going ziplining, swimming with sharks or taking a cooking class, Peek connects people with everyday adventures that create lasting memories. The platform combines the Peek.com marketplace with Peek Pro, a software tool that empowers activity operators to better manage and grow their businesses by streamlining operations and growing revenue.",eCommerce,United States,$123.43M,N/A
Seeq,Series B,$23.00M,07/18/2018,N/A,"Seeq is an advanced analytics solution for process manufacturing and IIoT data sets. Seeq’s multiple applications empower engineers to collaborate, investigate and publish insights from data in manufacturing applications and historians. Analytics may be of any type, including diagnostic, monitoring, and predictive analytics to find insights that can be used to drive continuous improvements in key production and business metrics.",Internet Software & Services,United States,$132.75M,N/A
Espressive,Series A,$23.00M,07/31/2018,N/A,"Espressive provides an AI based enterprise service management (ESM) solution, which allows employees to get help. Barista, a virtual support agent (VSA) for enterprise service management (ESM), brings the ease of consumer virtual assistants, such as Alexa and Google Home, into the workplace.",Internet Software & Services,United States,$53.00M,N/A
"L
Loot Crate",Series B,$23.00M,08/29/2018,N/A,"Loot Crate is a subscription commerce platform targeting fans of entertainment franchises. Loot Crate partners with major studios, game companies, comics publishers, professional sports leagues and personalities in the shared curation of premium and exclusive consumer products in themed mystery boxes, delivered directly to subscribers' doorsteps.",eCommerce,United States,$51.50M,N/A
"I
ICHunt.com",Series B - II,$23.00M,10/08/2018,N/A,ICHunt.com is a Chinese business-to-business trading platform for electronic components.,eCommerce,China,$128.00M,N/A
Mayvenn,Series B,$23.00M,11/07/2018,N/A,"Mayvenn empowers stylists and salons to retail products without them having to purchase or manage any inventory. The company is creating a direct sales distribution channel based on the existing stylist/customer relationship, lower prices, and better experience.",eCommerce,United States,$34.16M,N/A
Tiqets,Series B - II,$23.00M,11/12/2018,N/A,"Tiqets is a ticketing platform that allows users to buy and use instant and mobile tickets for museums, shows and attractions worldwide.",eCommerce,Netherlands,$105.45M,N/A
Fortanix,Series B,$23.00M,12/14/2018,N/A,Fortanix allows users to run applications securely in public clouds with complete privacy from the cloud provider. Migrate sensitive applications to public clouds and reduce operating expense without compromising on security. Applications maintain the exact same behavior as before. Integration with Fortanix requires minimal involvement from developers.,Internet Software & Services,United States,$45.25M,N/A
Moglix,Series C,$23.00M,12/17/2018,N/A,"Moglix is an Asia-based B2B commerce company inclined towards B2B procurement of industrial supplies, in particular, MRO, safety, electrical and lighting, cleaning and laundry supplies, office supplies, tools and other industry essentials.",eCommerce,Singapore,$220.71M,N/A
"T
TUNGEE",Series B - II,$23.00M,12/01/2018,N/A,TUNGEE is a SaaS platform that provides artificial intelligence-powered sales forecasts for B2B businesses.,Internet Software & Services,China,$70.88M,N/A
Oda,Series B,$23.71M,08/16/2018,N/A,"SFOX, short for the San Francisco Open Exchange, is a cryptocurrency prime dealer for large-scale investors.",Internet Software & Services,United States,$24.32M,N/A
"Z
Zhuge Zhaofang",Series B,$22.60M,07/09/2018,N/A,"Zhuge Zhaofang is a real estate big data and AI company that provides information searching service for users. Zhugefang collects, filters, and sorts information on the estate market via its big data analysis system in order to improve the efficiency of customers' search.",Internet Software & Services,China,$35.91M,N/A
OPAQ Networks,Series A - III,$22.50M,04/02/2018,N/A,"OPAQ Networks offers a cloud-based service that empowers organizations to simplify, centralize, and secure their networks. OPAQ Networks' management platform integrates networking and security in a way that reduces complexity and costs, tightens security control, and establishes a truly agile infrastructure that allows organizations to more easily keep ahead of emerging threats and instantly adapt to business and regulatory requirements.On July 20, 2020, OPAQ Networks was acquired by Fortinet, terms of the transaction were not disclosed.",Internet Software & Services,United States,$44.28M,N/A
"B
Beam Dental",Series C,$22.50M,05/07/2018,N/A,"Beam Dental offers employers, individuals and families dental insurance coverage pricing according to how often members brush their teeth.",Internet Software & Services,United States,$168.63M,N/A
OneLogin,Series C - II,$22.50M,06/05/2018,N/A,"OneLogin provides a cloud-based identity and access management (IAM) solution that offers simple single sign-on (SSO), making it easier for companies to secure and manage access to web applications both in the cloud and behind the firewall.On October 1st, 2021, OneLogin was acquired by One Identity. The terms of the transaction were not disclosed.",Internet Software & Services,United States,$162.00M,N/A
"D
DTWave",Series A,$22.40M,06/20/2018,N/A,"Shulan Technology, dba DTWave, is a professional big data service company focused on enterprise data capitalization and application appreciation. Its product DW.DaaS can help enterprises with supply chain risk management, control supplier progress, and so on.",Internet Software & Services,China,$73.48M,N/A
Spryker,Series B,$22.00M,02/13/2018,N/A,"Spryker was developed to put maximum productivity at the reach of companies and enable them to adapt, scale and innovate their digital business rapidly, whatever the individual requirements might be. Spryker provides companies with an operating system for e-commerce.",eCommerce,Germany,$152.00M,N/A
Peakon,Series B,$22.00M,02/27/2018,N/A,"Peakon is a provider of employee engagement and people analytics software. The company offers a SaaS-based platform that generates insights through the automated collection of employee feedback via web and mobile apps, which is then analyzed using machine learning techniques, to understand what motivates employees, what problems they have, and how those problems can be fixed and to create improvements.On January 28th, 2021, Peakon was acquired by Workday at a valuation of $700M.",Internet Software & Services,Denmark,$68.97M,N/A
Cheddar,Series D,$22.00M,03/19/2018,N/A,Cheddar is an online subscription video service that produces a daily business broadcast from the trading floor of the New York Stock Exchange and a daily lifestyle show.,Internet Software & Services,United States,$57.20M,N/A
HungryRoot,Series B,$22.00M,03/22/2018,N/A,"Hungryroot is a grocery delivery services that the company says uses AI to provide predictive and automatic deliveries. Per the company, they use machine learning and predictive modeling technologies to build customers’ carts for them with fresh groceries and simple recipes that aim to meet their needs and objectives. Hungryroot also aims to support customers with meal planning, nutritional support, and at-home delivery, with the goal of making the entire grocery experience more convenient, affordable, and sustainable. Hungryroot first launched as a a direct-to-consumer brand of fresh, healthy packaged foods. The company offered a variety of clean-ingredient food products ranging from plant-based pasta and versatile sauces to thoughtfully sourced proteins and wholesome desserts. Pr...",eCommerce,United States,$75.40M,N/A
Capital Float,Series C - II,$22.00M,04/23/2018,N/A,Capital Float is a digital finance company and provides collateral free-unsecured business loans in India online with easy documentation and instant approval for small businesses.,eCommerce,India,$266.05M,N/A
Bizongo,Series B,$22.00M,05/02/2018,N/A,"Bizongo is a B2B marketplace catering to the chemicals, plastics and packaging industry segments. Bizongo provides design, development, and procurement solutions at any stage of the packaging value-chain.",eCommerce,India,$116.05M,N/A
Phenom People,Series B,$22.00M,05/24/2018,N/A,Phenom People uses CRM best practices and applies them to talent acquisition resulting in the development of a talent relationship marketing platform.,Internet Software & Services,United States,$163.02M,N/A
"S
Shadowfax Technologies",Series C,$22.00M,08/07/2018,N/A,"Shadowfax is an on-demand delivery service that takes care of delivery requirements of local businesses. Due to its hyper-local delivery network and logistics technology, merchants can deliver to their customers in cost effective and hassle free way.",Internet Software & Services,India,$105.80M,N/A
Snyk,Series A,$22.00M,09/25/2018,N/A,"Snyk is an open-source security platform designed to help software-driven businesses enhance developer security. Snyk's dependency scanner finds, prioritizes, and fixes vulnerabilities and license violations in open source dependencies and container images.",Internet Software & Services,United States,"$1,026.09M",N/A
Thread Online,Series B,$22.00M,10/15/2018,N/A,Thread leverages a unique combination of human stylists and intelligent algorithms to deliver personalised product picks at scale.,eCommerce,United Kingdom,$41.82M,N/A
"B
Bolt",Series A,$22.00M,01/23/2018,N/A,"Bolt is a payments platform offering online checkout technology to retailers. Bolt's mission is to make online commerce instant, consistent, and trusted across the internet.",Internet Software & Services,United States,$608.00M,N/A
WealthNavi,Series D,$21.96M,11/09/2018,N/A,WealthNavi offers a cloud-based asset management and robo-advisory service that helps middle-income people better locate diversified investments internationally.,Internet Software & Services,Japan,$133.32M,N/A
"G
Going-Link",Series A,$21.83M,09/14/2018,N/A,Going-Link provides a procurement digital management platform for enterprises.,Internet Software & Services,China,$168.54M,N/A
"I
iFensi",Series B,$21.79M,05/10/2018,N/A,iFensi (粉丝网) is an entertainment portal that focuses on reporting entertainment and celebrity news.,Internet Software & Services,China,$51.79M,N/A
"J
Jushuitan",Series B - II,$21.77M,11/02/2018,N/A,"Jushuitan provides SaaS ERP application services, such as ordering, purchasing, after-sales, supply chain, and third-party warehousing services, to e-commerce platforms.",eCommerce,China,$190.75M,N/A
"E
Elens Data",Series A,$21.62M,11/23/2018,N/A,"Elens Data uses PaaS platforms such as natural language processing, knowledge mapping, and automated machine learning to provide customers in the government, finance and other fields with data integration management, analytical modeling and decision support, and other products and solutions.",Internet Software & Services,China,$28.82M,N/A
Loadsmart,Series A,$21.60M,10/09/2018,N/A,"Loadsmart is a digital freight broker that specializes in full truckload shipping. The company leverages data and machine learning to build artificial intelligence processes into the complex freight brokerage cycle, allowing shippers to book a truckload in seconds and provide instant and targeted loads to carriers.",Internet Software & Services,United States,$145.20M,N/A
Teamleader,Series C,$21.50M,08/02/2018,N/A,"Teamleader provides SMEs with a platform for the entire administration featuring CRM, calender, invoicing, sales, project planning, tickets, time tracking, voice calls (VoIP) and integrated applications.",Internet Software & Services,Belgium,$35.28M,N/A
"F
Firefly",Seed VC,$21.50M,12/06/2018,N/A,Firefly provides advertisements on digital screens on top of rideshare vehicles and taxis. The company uses first-party data for granular audience-based targeting.,Internet Software & Services,United States,$68.78M,N/A
Coinbase,Series E - II,$21.29M,12/21/2018,N/A,"Coinbase (NASDAQ: COIN) is a bitcoin wallet and platform where merchants and consumers can transact with digital currencies like bitcoin, ethereum, and litecoin.",Internet Software & Services,United States,$538.67M,N/A
GoJob,Series A,$21.19M,01/31/2018,N/A,"GoJob is an online agency that offers temporary assignments throughout France and in all business sectors including logistics, transport, building, retail, sales, and more.",Internet Software & Services,France,$34.90M,N/A
TravelPerk,Series B,$21.05M,04/05/2018,N/A,"TravelPerk is a free tool to help office managers book and manage business travel all in one place, in addition to offering expense integration and travel budget reporting. TravelPerk is a platform that transforms the way businesses budget, book, and manage corporate travel. Users have access to a single booking platform, which integrates all major airline, hotel, car rental, and train websites to manage itineraries, payment methods, and travel policies in line with company budgets.",Internet Software & Services,Spain,$293.58M,N/A
"F
ForUsAll",Series B,$21.00M,01/18/2018,N/A,ForUsAll is an independent 401(k) advisor specializing in low cost 401(k) plans for small and mid-sized businesses. The company seeks to craft a low-cost retirement plan by finding clients the right fund lineup and recordkeeper.,Internet Software & Services,United States,$43.98M,N/A
"O
OM1",Series B,$21.00M,05/22/2018,N/A,"OM1 develops a data analytics platform to predict the outcomes of patients so that hospitals, healthcare systems, and other stakeholders can make better decisions about how to care for those patients.",Internet Software & Services,United States,$176.25M,N/A
Verodin,Series B,$21.00M,06/28/2018,N/A,Verodin provides solutions for validating the effectiveness of cyber security controls.,Internet Software & Services,United States,$33.08M,N/A
"N
NFC Indonesia",IPO,$21.00M,07/13/2018,N/A,NFC Indonesia provides a platform of digital exchange hub to serve 140 million Indonesia internet users with easy to use users experience to connect them each other from many block or layer of business users and walk of life.,Internet Software & Services,Indonesia,,N/A
Unacademy,Series C,$21.00M,07/16/2018,N/A,Unacademy is a digital learning platform that aims to make high-quality educational videos available for free for everyone.,Internet Software & Services,India,$875.73M,N/A
RevJet,Series A,$21.00M,08/15/2018,N/A,RevJet has created an Ad Experience Platform powering digital marketing creative experiences for Fortune 500 marketers.,Internet Software & Services,United States,$25.00M,N/A
NetraDyne,Series B,$21.00M,09/26/2018,N/A,Netradyne uses artificial intelligence (AI) vision-based dashcam devices to monitor the safety performance of fleet vehicles. Netradyne's system may also crowdsource road and driving behavior metadata.,Internet Software & Services,United States,$197.52M,N/A
"U
Unifonic",Series A,$21.00M,10/17/2018,N/A,"Unifonic is a customer engagement platform that enables organizations to delight customers with remarkable omnichannel experiences. Unifonic streamlines conversations at every touchpoint throughout the customer journey. From SMS one-time passwords or WhatsApp vaccination requests to voice surveys and many more, Unifonic empowers organizations to transform customer experience with seamless conversations that improve customer satisfaction while allowing them to focus on core business activities without maintaining costly communication infrastructures.",Internet Software & Services,Saudi Arabia,$146.00M,N/A
Coople,Series B,$21.00M,10/25/2018,N/A,Coople is an on-demand marketplace for temporary staffing. The company's cross-device software platform enables businesses to find temporary workers to cover immediate hourly or daily staffing needs around the clock.,Internet Software & Services,Switzerland,$75.02M,N/A
