C,o,m,p,a,n,i,e,s
Mech-Mind Robotics,"Mech-Mind Robotics is a developer of software solutions for industrial robots, including robotic vision (2D/3D), advanced programming models, fast environment perception, intelligent decision-making, autonomous path planning, and other core technologies.","Scientific, Engineering Software",China,$184.36M,2016,09/27/2021,Series C - II,$154.87M
Shanghai Pharmaceuticals Cloud Health,"Provider of a prescription drug e-commerce platform. The company provides an online-to-offline (O2O) sales platform of prescription drugs and health management services to patients. The core model is to build three platforms as electronic prescription, drug data, and patient data, and provide online solutions to integrate offline retail resources, provide patients with convenient prescription drug purchases, and long-term health management services. The goal is to realize service and trade integration, seamless linkage of hospital prescriptions, interactions between doctors and patients, and online-offline integration.",eCommerce,China,$351.47M,,12/17/2020,Series B,$159.57M
100credit,"100credit is a FinTech company that leverages real-time data, both online and offline, to provide credit services to banks and other financial services institutions. 100credit provides its users with products and services that allow them to manage the lending process across the whole life-cycle of a loan agreement - enabling them to better assess credit risk of potential borrowers, monitor existing loans for potential defaults, and manage collection process on delinquent loans. In addition, it provides products and services that help insurance companies achieve precision marketing, manage their existing customer base and tailor their products and services.",Internet Software & Services,China,$263.01M,,04/18/2018,Series C,$159.40M
AwesomenessTV,"Awesomeness TV is a digital video production company and YouTube channel operator. The channel, which is geared towards teens, aims to offer comedy, sports and reality.",Internet Software & Services,United States,$243.75M,2012,04/06/2016,Corporate Minority - II,$159.00M
Yandong Microelectronics,"Yandong Microelectronics (YDME) designs, manufactures and sells semiconductor chips and integrated circuits.",Chips & Semiconductors,China,$592.92M,1987,09/07/2021,Corporate Minority,$154.64M
Mantunsci Technology,Mantunsci Technology focuses on the development of user-side smart power security products and the construction of smart energy service big data cloud platform.,Internet Software & Services,China,$154.52M,,08/27/2021,Series C,$154.52M
Lingshou Yun,Lingshou Yun is an open platform for Suning.com's smart retail capabilities to be exported.,eCommerce,China,$154.44M,,01/26/2021,Series A,$154.44M
Muxi,"Muxi is an integrated circuit design company based in China that provides GPU chips for AI, cloud computing, and other applications.",Chips & Semiconductors,China,$154.42M,2020,08/25/2021,Series A,$154.42M
RABC,"RABC is a high-tech enterprise specializing in R&D, production, manufacturing, sales, and service of various solid-state power lithium batteries.",Electrical Product Distribution,China,$154.33M,2018,04/27/2021,Seed VC,$154.33M
ekuaibao,"Hose, with specialized SaaS products and services, aims to provide companies with enterprise consumption and reimbursement management solutions in order to help businesses with effective cost control and decision support.",Internet Software & Services,China,$225.81M,2014,08/23/2021,Series D,$154.29M
SemiDrive,SemiDrive is an auto self-driving chip developer.,Chips & Semiconductors,China,$227.62M,2018,07/26/2021,Series B,$154.25M
Acadsoc,Acadsoc is an online English training platform that provides students with one-on-one English training services through live streaming.,Internet Software & Services,China,$187.80M,2011,02/19/2021,Series C - V,$154.15M
K2,"SourceCode Technology Holdings, dba K2, is a provider of business application platforms and solutions that empower people to build and run business apps, from the very simple to the highly complex, limited only by their imagination. The low code platform allows users to create customized business applications --using workflows and forms--that stretch across roles, departments, and data sources. Understanding the importance of getting the right information to the right people at the right time, K2 allows business users to make smarter, data-driven decisions, fast. In this fast-paced environment, workforces can stay focused on building and growing the business, instead of managing processes.On October 1, 2020 K2 was acquired by Nintex. The terms of the transaction were not disclosed.",Data & Document Management Software,United States,$153.36M,2000,02/18/2015,Series C,$153.00M
Bancor Protocol,"Bancor Protocol is a standard for a new generation of cryptocurrencies called Smart Tokens. Smart tokens hold one or more other tokens in a constant reserve balance which provide a mechanism for automatic price discovery and continuous liquidity. Bancor's mission is to reduce barriers to entry, allowing the long tail of user-generated currencies to emerge.",eCommerce,Switzerland,$153.00M,2016,06/12/2017,Crowdfunding,$153.00M
Weidai,"Weidai (NYSE: WEI) is an internet financial services platform specializing in automobile mortgage-backed loans. The company has established offline service centers in Zhejiang, Jiangsu, Shanghai, Jiangxi, and Anhui.",eCommerce,China,$193.00M,,05/23/2016,Series C,$153.00M
Evidation,"Evidation measures health in everyday life and enables anyone to participate in research and health programs. Evidation is a two-sided platform that connects individuals and enterprises. On the consumer side, the company assists individuals to participate in research including testing of digital health programs. On the enterprise side, Evidation provides biopharma, med-tech, big tech, academic institutions, professional societies, and government partners the ability to: generate evidence; and design, test, and deploy programs that motivate evidence-based action.",Internet Software & Services,United States,$259.18M,2012,03/22/2021,Series E,$153.00M
Hotstar,"Novi Digital Entertainment operates Hotstar, an online content platform offering movies and TV-shows.",Internet Software & Services,India,$226.69M,,03/14/2019,Corporate Minority - II,$153.00M
Degreed,Degreed provides a free service that scores and validates lifelong education from both accredited and non-accredited sources. Degreed offers a way to have education validated and enables users to unlock relevant employment and educational opportunities.,Internet Software & Services,United States,$385.92M,2012,04/13/2021,Series D,$153.00M
Neyber,"Neyber is a financial wellbeing platform that enables employers to offer access to loans at more affordable rates than are commonly available on the high street. Loan repayments are taken through unique salary deduction technology that integrates directly with employer payroll systems.On March 10, 2020, Neyber was acquired by Salary Finance. The terms of the transaction were not disclosed.",Internet Software & Services,United Kingdom,$198.32M,2014,09/12/2017,Debt,$152.80M
CloudMinds,"CloudMinds is an artificial intelligence and cloud computing company specializing in cloud-based smart robotics, secure cloud networks, large AI machine learning platforms, and secure smart terminal and robot controller technologies.",Internet Software & Services,China,$282.60M,2015,04/09/2021,Series B - II,$152.60M
AUTO SAAS HOLDINGS,"AUTO SAAS HOLDINGS is a Chicago, Illinois-based firm operating in stealth.",Stealth Mode,United States,$152.50M,2021,10/18/2021,Unattributed,$152.50M
Luisa Via Roma,Luisa Via Roma is an e-commerce luxury fashion retailer.,eCommerce,Italy,$152.43M,1930,09/26/2021,Private Equity,$152.43M
Sky Mavis,"Sky Mavis develops blockchain based games and products. Its first game, Axie Infinity, is a digital pet universe where players battle, raise and trade cute creatures called Axies. Each Axie can possess 6 out of hundreds of possible body parts. Each body part has its own battle move so the combinations for creating unique little battlers are infinite.",Internet Software & Services,Vietnam,$161.00M,2019,10/04/2021,Series B,$152.00M
Aderant,"Aderant Holdings is a provider of business management applications for law firms and professional services organizations to efficiently manage operations, attract and retain clients, and maximize profitability. The company provides a suite of front and back-office applications which automate financial management, time and billing, business development, practice management, business intelligence, and performance management functions.",Customer Relationship Management Software,United States,$152.00M,1978,11/28/2012,Private Equity,$152.00M
Element AI,"Element AI is a global developer of AI software that helps people work smarter. The company turns research and industry expertise into software solutions that exponentially learn and improve. Its end-to-end offering, including advisory services, AI enablement tools, and products, aims at helping large organizations operationalize AI and create real business impact.On November 30th, 2020, Element AI was acquired by ServiceNow at a valuation of $230M.","Business Intelligence, Analytics & Performance Mgmt Software",Canada,$257.14M,2016,09/13/2019,Series B,$151.40M
Upserve,"Upserve is a Restaurant Management Platform that enables restaurants to unlock the power of their menu, staff, and guest habits through both integrated cloud-based point of sale, payments, analytics, as well as the Upserve Marketplace. In a single platform, Upserve offers a cloud point of sale for restaurants, Breadcrumb POS by Upserve; actionable analytics through Upserve HQ; transparent processing with Upserve Payments; mobile restaurant management with Upserve Live; and seamless integration with third-party restaurant apps via the Upserve Marketplace. Upserve is headquartered in Providence with additional offices in San Francisco and New York City.On December 1, 2020 Upserve was acquired by Lightspeed POS at a valuation of $430M in a mix of cash & stock.",Internet Software & Services,United States,$191.45M,2009,07/06/2017,Private Equity,$151.07M
Coveo,"Coveo uses AI and intelligent search technologies to personalize millions of digital experiences for customers, partners, dealers, and employees. Coveo combines unified content, unified interactions and machine learning to deliver relevant information and recommendations across every business interaction, making websites, commerce, contact centers, intranets and digital properties and apps effortless, content-rich and effective.",Internet Software & Services,Canada,$341.75M,2005,11/06/2019,Series F,$154.80M
Maoyan Entertainment,"Maoyan Entertainment (HKG: 1896) is a Chinese online ticketing platform, formed from the 2017 merger between Maoyan and Weiying. The company offers online entertainment ticketing services, entertainment content services, e-commerce services, advertising services and others.",eCommerce,China,$150.61M,2017,11/10/2017,Corporate Minority - II,$150.61M
Cloudbeds,Cloudbeds create browser-based hospitality management software that simplifies the working life of hoteliers.,Internet Software & Services,United States,$244.94M,2012,11/03/2021,Series D,$150.00M
SkillSoft,"Skillsoft provides cloud based learning solutions for its customers worldwide, ranging from global enterprises, government, and education to mid-sized and small businesses. Skillsoft's customer support teams draw on a wealth of in-house experience and a comprehensive learning e-library to develop off-the-shelf and custom learning programs tailored to meet customer needs. Skillsoft's courses, books and videos have been developed by industry-leading learning experts to ensure that they maximize business skills, performance, and talent development.On October 13, 2020 Skillsoft was merged into Churchill Capital at a valuation of $1.3B.",Internet Software & Services,United States,$157.00M,1989,11/02/2015,Line of Credit,$150.00M
Jumio,"Jumio is an identification credentials authentication company that helps businesses reduce fraud, meet regulations, and increase revenue. Jumio utilizes proprietary, computer vision technology and document experts to verify credentials, including passports and driver's licenses issued by over 130 countries.",Internet Software & Services,United States,$201.71M,2012,03/23/2021,Private Equity,$150.00M
CloudFlare,"Cloudflare offers a range of services to help companies reduce latencies, including distributed denial of service (DDoS) attack mitigation and a content delivery network (CDN), which is a global network of proxy servers and data centers that ensure content is delivered to users from locations that are closer to them.",Internet Software & Services,United States,$332.07M,2009,03/12/2019,Series E,$150.00M
OutSystems,"OutSystems develops and markets a solution for application management and development that accelerates applications' delivery and fosters their continuous adaptation to new business requirements. The OutSystems Platform lets users create, deploy, change, and manage custom mobile and web applications that are delivered across all devices.",Internet Software & Services,United States,$572.01M,2001,02/17/2021,Series E,$150.00M
Pendo,"Pendo is a product cloud that helps digital product teams and application owners deliver software experiences to users. The Pendo Product Cloud surfaces insights from product usage patterns, user sentiment, and user feedback to help product teams understand how people are using their products. Teams then use these insights to improve the product experience with smarter product decisions, in-app messages, guides, and product walkthroughs.",Internet Software & Services,United States,$359.17M,2013,07/27/2021,Series F,$150.00M
BloomReach,"BloomReach provides a single Personalization Platform that includes BloomReach's proven applications for organic search, site-search and navigation in addition to marketing and merchandising analytics. With applications for commerce, including organic and site search and category pages, and role-based analytics, the BloomReach Platform makes content and products more discoverable and relevant, everywhere. BloomReach's core technology – the Web Relevance Engine (WRE) - algorithmically understands content and users, matching this with demand and intent data from across the Web. BloomReach's Commerce Suite has solutions that adapt your content to make it personal and relevant for individual users. The BloomReach Compass suite surfaces product performance and recommendations that maximi...",Internet Software & Services,United States,$247.00M,2009,01/26/2021,Series E,$150.00M
SMS Assist,"SMS Assist provides a cloud-based multisite property management software to clients with more than 120,000 service locations. Using the company's platform to manage networks of more than 20,000 affiliate subcontractors, the company offers a suite of property management benefits including leveraged pricing of products and services, $30 million risk indemnification, real-time services validation, instant invoicing, automatic service audits and data analysis. SMS Assist is a mobile and cloud-based multisite property management company.",Internet Software & Services,United States,$255.00M,2003,06/07/2016,Series D,$150.00M
Freshworks,"Freshworks provides a cloud-based customer support platform. The company offers an online help desk and support ticketing application supporting customers through email, phone, Facebook, and Twitter. Customer service agents can support, update, and assign projects directly from an email client without logging in or using a mobile app. Agents email or forward a request to a Freshworks email address, and the request will be added to Freshworks's interface.",Internet Software & Services,United States,$399.00M,2010,11/04/2019,Series H,$150.00M
monday.com,"monday.com (NASDAQ: MNDY) is a web-based project management and team collaboration tool that supports creating and assigning tasks to team members, allocating workloads, collecting comments and feedback, sharing files; and more.",Internet Software & Services,Israel,$234.10M,2012,07/30/2019,Series D,$150.00M
Trackforce Valiant,"Trackforce Valiant is a SaaS provider of operations management tools for security guards, integrating mobile security guard management, incident reporting, workforce optimization, and field reporting. The company's GuardTek platform includes a combination of web-based and mobile applications to connect mobile guards, stationary guards, and security managers, improving visibility into overall security operations.",Internet Software & Services,United States,$157.40M,2000,09/03/2019,Growth Equity - II,$150.00M
M1 Finance,"M1 Finance is The Finance Super App that helps people manage and grow their money with control and automation for free. M1 has empowered hundreds of thousands of investors to open accounts and improve their financial well-being through investing, digital checking, and lines of credit.",Internet Software & Services,United States,$328.17M,2015,07/14/2021,Series E,$150.00M
Peilian.com,Peilian.com is an online music tutoring platform for children aged 5 to 16.,Internet Software & Services,China,$151.00M,2014,11/02/2018,Series C,$150.00M
RetailMeNot,"RetailMeNot is a digital savings destination that connects consumers with retailers, restaurants and brands, both online and in-store. The company enables consumers across the globe to find hundreds of thousands of digital offers and discounted gift cards to save money while they shop or dine out.On September 29th, 2020, RetailMeNot was acquired by J2 Global at a valuation of $420M.",eCommerce,United States,$297.00M,2007,11/10/2011,Growth Equity,$150.00M
Hibob,"Hibob is a cloud-based system that integrates human resources, benefits, pension, auto-enrollment, and data in one secure online data storage platform. The Company's platform improves the workflow of managing and engaging employees, saving hours of administration. The company has offices in Tel Aviv, London, and New York.",Internet Software & Services,Israel,$265.00M,2015,10/12/2021,Series C,$150.00M
Huohua Siwei,"Huohua Siwei, developed by Xingengyuan Technology, is an online education platform for K-12 children. Xingengyuan Technology also develops Wanduoduo, a toy rental app that allows users to rent toys for children.",Internet Software & Services,China,$590.00M,2016,01/24/2021,Series E - III,$150.00M
Ascend Money,"Ascend Money provides scalable, cost-effective, and end-to-end eCommerce platform and services, with a fulfillment solution that enhances delivery efficiency for both online and offline sales channels, ePayment and lending, and eService businesses. It provides comprehensive digital marketing solutions, data centers, and cloud services, as well as venture capital.",eCommerce,Thailand,$150.00M,2013,09/27/2021,Series C,$150.00M
Doma,"States Title (NYSE: DOMA) uses predictive analytics and technology to create a modern title and escrow platform. The company uses machine intelligence and its patented technology solutions to transform residential real estate, making closings instant and affordable. Doma and its family of brands - States Title, North American Title Company (NATC), and North American Title Insurance Company (NATIC) - offer solutions for lenders, real estate agents, title agents, and homeowners that make closings vastly more simple and efficient, reducing cost and increasing customer satisfaction. Doma’s clients include some of the largest bank and non-bank lenders in the U.S.",Internet Software & Services,United States,$548.22M,2016,02/17/2021,Debt,$150.00M
loanDepot,"loanDepot is an independent retail mortgage lender in the U.S. and provides residential loans. loanDepot's current business channels include direct lending, affinity, branch retail and servicing. The innovative online consumer direct lending platform operates under the loanDepot brand. The company is also a leader in a distributed branch purchase platform under the imortgage brand.",Internet Software & Services,United States,$221.95M,,08/17/2016,Debt,$150.00M
Impact,"Impact accelerates enterprise growth by scaling discovery, recruitment, onboarding, engagement, and optimization of all types of partnerships. Its CloudTM automates partnership discovery, recruitment, onboarding, engagement, and optimization for the full partnership lifecycle, confident decision making and optimization through measurement and attribution, and protection from fraud.",Internet Software & Services,United States,$274.15M,2008,07/13/2021,Series E,$150.00M
Macro Ventures,"Macro is a multi-platform media company focused on the multicultural market. Macro aims to be the leading premium content creator for the new majority multicultural market by funding and producing theatrical features, premium television and digital content.",Internet Software & Services,United States,$150.00M,2015,10/03/2017,Series A,$150.00M
The Zebra,"The Zebra is an online car insurance comparison marketplace. The Zebra also provides educational resources to inform consumers and help them find the coverage, service level, and pricing to suit their unique needs, while simultaneously helping insurance companies connect with their consumers.",eCommerce,United States,$255.08M,2012,04/12/2021,Series D,$150.00M
Guild Education,"Guild enables employers to offer education as a benefit and tuition reimbursement to their employees via a technology platform that allows HR leaders to track outcomes data – including recruitment, retention, and promotion – to measure the return on educational benefits.",Internet Software & Services,United States,$376.50M,2015,06/02/2021,Series E,$150.00M
Chexiang.com,Chexiang.com (车享) is an O2O automobile e-commerce platform offering online and offline services both for brand new and used cars. Facilities include leasing and maintenance.,eCommerce,China,$151.05M,,12/01/2017,Series B,$151.05M
Maoyan Entertainment,"Maoyan Entertainment (HKG: 1896) is a Chinese online ticketing platform, formed from the 2017 merger between Maoyan and Weiying. The company offers online entertainment ticketing services, entertainment content services, e-commerce services, advertising services and others.",eCommerce,China,$150.61M,2017,11/10/2017,Series C,$150.00M
dLocal,"dLocal (NASDAQ: DLO) is a 360 payments platform designed to handle mass online payments in Latin America and other emerging markets across APAC and MENA. By operating as the payments processor and merchant of record in each market, dLocal makes it simple for online companies to reach 2.3 billion digitally-savvy consumers in today’s fastest-growing markets.",Internet Software & Services,Uruguay,$350.00M,2016,04/02/2021,Unattributed,$150.00M
Arteria Networks,"Arteria Networks, a subsidiary within Marubeni's ICT Division, is a provider of broadband connectivity and network solutions in Japan. The Company provides one-stop information and communication services including: internet connection; leased circuit; IP-VPN; data center; and related solutions.",IT Services,Japan,$150.00M,,11/27/2014,Private Equity,$150.00M
OneSource Virtual,"OneSource Virtual is a Business Process as a Service (BPaaS) provider leveraging Workday technology for enterprises of all sizes. Exclusively dedicated to the Workday platform, OneSource Virtual develops solutions that have revolutionized and simplified the Human Resources outsourcing industry with payroll administration services, benefits administration services, and application management services delivered in-application.",Internet Software & Services,United States,$165.00M,,06/19/2015,Growth Equity,$150.00M
Dental Monitoring,"Dental Monitoring allows orthodontists and dentists to remotely follow the treatment of their patients. After downloading the DM app to their smartphones, patients follow the patented DM auto-scan procedure. DM AI technology then extracts from these scans the essential parameters desired by the practitioner and combines them with the 3D dental modelings captured at the beginning of treatment.",Mobile Software & Services,France,$210.08M,2014,10/21/2021,Series B,$150.00M
Standard Cognition,"Standard Cognition provides AI-powered autonomous checkout solutions for brick and mortar retailers. The Standard solution lets consumers shop and pay without waiting in line, scanning or stopping to check out.",Specialty Computer Hardware,United States,$235.62M,2017,02/17/2021,Series C,$150.00M
Function of Beauty,"Function of Beauty has built a software platform to determine a precise formula for both shampoo and conditioner for every customer. The software algorithm allows customers to create a personalized profile encompassing options regarding hair type, style goals, fragrance preferences, and more.",eCommerce,United States,$164.66M,2015,12/02/2020,Series B,$150.00M
Huayu,"Huayu, a subsidiary of NetDragon, is an education ecosystem that develops K-12, vocational, non-academic credential and lifelong educational products by leveraging mobile internet technologies to disruptively enhance the learning environment, using gamification models to make learning fun, and applying user behavioral analysis to deliver innovative pedagogical approaches.",Internet Software & Services,China,$202.50M,2010,11/11/2019,Series B,$150.00M
ConcertAI,"ConcertAI specializes in integrated clinical RWD, AI solutions and outcomes science with a large RWD oncology dataset. Concerto HealthAI has an exclusive partnership with CancerLinQ, a non-profit subsidiary of the American Society of Clinical Oncology (ASCO).",Internet Software & Services,United States,$170.00M,2017,01/13/2020,Series B,$150.00M
Pillar Data Systems,"Pillar Data Systems delivers storage solution with more utilization rate, is simple to manage and less expensive to scale.",Computer Storage & Peripherals,United States,$150.00M,,06/13/2005,Unattributed VC,$150.00M
Arctic Wolf Networks,"Arctic Wolf delivers personal, predictable protection from cybersecurity threats through an industry-leading security operations center (SOC)-as-a-service. Arctic Wolf Managed Detection and Response and Managed Risk services are anchored by the Arctic Wolf Concierge Security™ Team who provides custom threat hunting, alerting and reporting. Arctic Wolf’s purpose-built, cloud-based SOC-as-a-service offers 24x7 monitoring, risk management, threat detection, and response.",Internet Software & Services,United States,$498.25M,2012,07/13/2021,Series F,$150.00M
Procore,"Procore Technologies (NYSE: PCOR) provides cloud-based construction management software. Using its suite of construction management software, registered Procore users manage all types of construction projects including industrial plants, office buildings, apartment complexes, university facilities, retail centers, and more. The Procore and free CurrentSet by Procore mobile apps for iOS and Android can be downloaded from the App Store or Google Play.",Internet Software & Services,United States,$500.12M,2002,04/30/2020,Series I,$150.00M
FlexGen Power Systems,"FlexGen combines power conversion, energy storage and high speed controls to fortify, clean, and improve generating assets and power systems. FlexGen's Power Control systems are designed and built to integrate with existing power systems and SCADA controls.",Electrical Product Distribution,United States,$186.14M,2009,08/25/2021,Series B,$150.00M
CalmCar,"CalmCar Vehicle Vision develops an intelligent driving vision system provider. CalmCar specializes in developing intelligent vision systems for ADAS, autopilot, and autonomous driving with functions of Lane Departure Warning (LDW), Front Collision Warning (FCW), Pedestrian Collision Warning(PCW), Blind Spot Detection (BSD), and Traffic Sign Recognition (TSR).","Scientific, Engineering Software",China,$156.05M,2016,07/22/2021,Series C,$150.00M
Tanium,"Tanium gives enterprises and government organizations the ability to secure, control, and manage millions of endpoints across the enterprise within seconds. Serving as the “central nervous system” for enterprises, Tanium empowers security and IT operations teams to ask questions about the state of endpoints across the enterprise, retrieve data on their current and historical state, and execute change as necessary.",Security Software,United States,"$1,170.29M",2007,01/28/2021,Unattributed,$150.00M
Axtria,"Axtria is an analytics company which combines industry knowledge, analytics and technology to deliver solutions that help clients make better data-driven decisions","Business Intelligence, Analytics & Performance Mgmt Software",United States,$206.32M,2009,05/13/2021,Series E,$150.00M
MOLOCO,"MOLOCO is a mobile advertising Infrastructure as a Service (IaaS) company powering a mobile ecosystem by delivering every component needed to run an effective mobile advertising business. Moloco's predictive ad performance engine enables publishers to convert data into advertising performance and ultimately, revenue. With Moloco, app publishers have a platform capable of monetizing both marketing and advertising programs within the same solution. A machine learning algorithm optimizes delivery and performance across different ad creative types, while proprietary fraud tools protect ad spending.",Internet Software & Services,United States,$187.57M,2013,08/17/2021,Series C - II,$150.00M
Jumei International Holdings,"Jumei International Holdings is a China-based online retailer of beauty products. The company's curated sales represents an online sales format, whereby they recommend a carefully selected collection of branded beauty products for a limited period of time at attractive prices. Its curated sales format captures online shoppers' attention through product recommendations and insightful product descriptions.",eCommerce,China,$167.20M,,05/09/2014,Private Equity,$150.00M
Maihuolang Information Technology,"Maihuolang Information Technology operates 51mhl.com, an e-commerce platform serving China's rural communities.",eCommerce,China,$150.00M,2014,02/28/2017,Series A,$150.00M
ZocDoc,"Zocdoc is a digital healthcare marketplace for in-person or virtual care. Zocdoc provides in-network doctors, book in-person or virtual appointments, reviews from verified patients, reminders for upcoming appointments and preventive checkups.",Internet Software & Services,United States,$383.02M,2007,02/11/2021,Series E,$150.00M
Zego,"Zego provides pay-as-you-go insurance for drivers and riders working for sharing economy companies including Deliveroo, UberEATS, Jinn and Amazon who only pay, via an app or top up card, for cover for the hours they work.",Internet Software & Services,United Kingdom,$201.55M,2016,03/09/2021,Series C,$150.00M
NetDragon Websoft - Education Business,NetDragon Websoft's education business offers education tools and smart classroom solutions to teachers and schools in China.,Internet Software & Services,China,$150.00M,,11/11/2019,Private Equity,$150.00M
VIPKid,"VIPKid is an online education platform that connects Chinese children to one-on-one video teaching sessions with teachers based in North America, offering a real-time online English immersion learning experience.",Internet Software & Services,China,$975.49M,2013,09/19/2019,Series E,$150.00M
Xendit,"Xendit operates as a payment gateway for Indonesia, the Philippines and Southeast Asia. The company provides digital solutions that aim to help companies accept and send payments via APIs.",Internet Software & Services,Indonesia,$215.01M,2014,09/14/2021,Series C,$150.00M
Skybox Security,"Skybox Security is a provider in proactive security management solutions, offering automated tools that find and prioritize cyber risks such as vulnerabilities, firewall configuration errors, and access compliance issues. The company's solutions help IT security personnel continuously monitor security risks that could lead to a data breach or cyber-attack.",Security Software,United States,$295.19M,2002,10/25/2017,Unattributed VC,$150.00M
Enjoy,"LeCloud is a free-of-charge cloud platform that provides storage space for private users and corporate clients to share photos, files, music, and software.",Internet Software & Services,China,$150.00M,2004,03/03/2016,Series A,$150.00M
KnowBox,"KnowBox is a Chinese K-12 online education platform for all primary and secondary education, creating an online collaborative space where teachers can assign and correct homework and students can do homework.",Internet Software & Services,China,$306.16M,2014,05/30/2019,Series D,$150.00M
PetLove,"PetLove is a São Paulo-based e-commerce platform for products and services for the pet market. The company operates brands such as DogHero, Vetus and Porto.Pet.",eCommerce,Brazil,$237.52M,1999,08/26/2021,Series C,$150.00M
Mythical Games,"Mythical Games is a video game developer of a line of PC, mobile and console games on the EOSIO blockchain, which allows developers to build games with player-owned economies.",Internet Software & Services,United States,$260.00M,2018,11/04/2021,Series C,$150.00M
Algolia,"Algolia's mission is to enable developers and product teams to build consumer-grade search for their users that is easy to implement, engaging, and high-performing.",Internet Software & Services,United States,$334.34M,2012,07/28/2021,Series D,$150.00M
FLYR,"FLYR has developed the FusionRM, a business intelligence platform that helps airlines produce a more intelligent way of forecasting price elasticity and demand for seats, ancillary products, and bundled offers.",Internet Software & Services,United States,$186.31M,2013,09/22/2021,Series C,$150.00M
Zetwerk,Zetwerk is a marketplace that connects manufacturers to suppliers of raw materials for faster procurement.,eCommerce,India,$379.47M,2018,08/20/2021,Series E,$150.00M
Persona,"Persona aims to offer businesses a comprehensive and automated identity verification Software-as-a-Service (SaaS) with global coverage to help them with age verification, fraud prevention, and account recovery.",Internet Software & Services,United States,$217.50M,2018,09/15/2021,Series C,$150.00M
Commure,"Commure provides an FHIR-compliant development platform for health systems, vendors and startups to build healthcare applications and software. The platform is built with an AAA security framework, an event service bus, an API gateway, a flexible data store, terminology services and healthcare-specific UI components.Per the company, Commure develops healthcare software to improve doctor functionality.",Healthcare Software,United States,$576.39M,2017,09/13/2021,Series D - II,$150.00M
Cognite,"Cognite provides a platform that liberates industrial data from separate, siloed systems and reveals the data in a structured in a contextualized manner, presenting a full, virtual view of industrial reality - both past and present - made accessible and meaningful for humans and machines.",Application & Data Integration Software,Norway,$233.80M,2016,05/19/2021,Series B,$150.00M
Tipalti,"Tipalti provides a cloud based technology platform aimed at mid-market companies, who have traditionally been underserved by banks, to streamline all phases of the global accounts payable workflow. The solution streamlines and optimizes businesses' end-to-end global payables workflow, while giving companies access to cross border payments, currency conversion, and payments across a wide range of methods.",Internet Software & Services,United States,$286.00M,2010,10/06/2020,Series E,$150.00M
Purely Capital,"Purely Capita specializes in payments for the entertainment industry, focused on the entire financial reporting, payments and receivables processes to benefit all stakeholders.",Internet Software & Services,United Kingdom,$150.00M,2018,03/11/2020,Line of Credit,$150.00M
dbt Labs,"dbt Labs helps data teams work directly within the warehouse to produce trusted datasets for reporting, ML modeling, and operational workflows.",Internet Software & Services,United States,$193.90M,2016,06/30/2021,Series C,$150.00M
Addepar,"Addepar is a financial operating system that aims to bring common sense and ethical, data-driven investing to the financial world. Addepar gives advisors and their clients a clearer financial picture at every level, all in one place, and handles all types of assets denominated in any currency. With customizable reporting, financial advisors can visualize and communicate relevant information to anyone who needs it.",Internet Software & Services,United States,$513.93M,2009,06/15/2021,Series F,$150.00M
ezCater,"ezCater is a nationwide marketplace for business catering. ezCater's online ordering, on-time ratings and reviews, and customer service connect businesspeople to reliable catering for any meeting, anywhere in the United States.",eCommerce,United States,$320.16M,2007,04/02/2019,Series D - II,$150.00M
Remote,"Remote helps users build remote teams compliantly. Users can employ anyone directly through Remote. The company's online software handles payroll, benefits, and compliance in every country.",Internet Software & Services,United States,$196.00M,2019,07/13/2021,Series B,$150.00M
Rebellion Defense,Rebellion aims to empower the military and US civil servants and allies through AI and machine learning to solve defense challenges for the government.,Government Software,United States,$150.00M,2019,09/16/2021,Series B,$150.00M
Fotolia,"Fotolia is devoted to offering affordable creative imagery. Its crowdsourced library includes millions of royalty-free images, vectors, illustrations and video footage clips. Whether a professional designer, manager, presenter, small business owner or student, the right images for websites, brochures, reports, and slides are available on Fotolia.",eCommerce,United States,$375.00M,,05/17/2012,Line of Credit,$150.00M
Oversee.net,"Oversee.net specializes in monetizing, registering, selling and developing domain names. The company provides an array of managed services to domain investors, corporations, and individuals across more than ten million web sites. Oversee owns one of the largest portfolios of domain names in the world - more than 1 million names. The company's unique optimized technology connects consumers and advertisers with highly relevant advertisements. Headquartered in Los Angeles with offices in Portland, Oregon, Pompano Beach, Florida, New York City and Frankfurt, Germany, the company's core brands include DomainSponsor, SnapNames, Moniker, DOMAINfest, LowFares.com, CreditCards.org, ShopWiki.com, and AboutAirportParking.com",Internet Software & Services,United States,$210.00M,2000,01/24/2008,Series A,$150.00M
Pleo,"Pleo offers smart payment cards for employees enabling them to buy the things they need for work, all while keeping the companies in control of spending. The company pairs the cards with software/mobile apps to automatically match receipts and track all spending company-wide in real-time, with analytics and accounting software integrations to boot.",Internet Software & Services,Denmark,$228.80M,2015,07/06/2021,Series C,$150.00M
Afiniti,"Afiniti is a multinational applied artificial intelligence company. Afiniti uses AI to identify and predict subtle, valuable patterns of human behavior to better pair customers and employees. Pairing in this way results in higher quality interpersonal interactions and drives measurable increases in revenue and customer lifetime value for enterprises.",Internet Software & Services,Bermuda,$327.20M,2006,07/07/2020,Debt - II,$150.00M
YunQuNa,"YunQuNa is a global logistics service platform that bridges cargo owners with logistics service providers, providing cargo owners with logistics trading and delivery services on a global scale.",Internet Software & Services,China,$342.37M,2015,06/29/2021,Series D - II,$150.00M
